year,total
1970,0.3
1971,0.3
1972,0.4
1973,0.4
1974,0.4
1975,0.4
1976,0.5
1977,0.4
1978,0.5
1979,0.5
1980,0.5
1981,0.5
1982,0.5
1983,0.5
1984,0.5
1985,0.5
1986,0.5
1987,0.5
1988,0.4
1989,0.4
1990,0.4
1991,0.4
1992,0.5
1993,0.5
1994,0.5
1995,0.5
1996,0.6
1997,0.7
1998,0.7
1999,0.7
2000,0.8
2001,0.8
2002,0.7
2003,0.7
2004,0.7
2005,0.8
2006,0.9
2007,0.9
2008,0.8
2009,0.8
2010,0.7
2011,0.7
2012,0.8
2013,0.8
2014,0.8
2015,0.8
2016,0.9
2017,0.9
